,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
3832,3832,102784,102784,37093590302,3709359,3,2,3,23,6.6,0,19,1,4,3
3833,3833,102785,102785,37093590303,3709359,3,3,3,30,6.59,0,19,1,4,3
3834,3834,102797,102797,37094660102,3709466,1,2,3,50,19.92,1,6,1,4,2
3835,3835,102799,102799,37094660202,3709466,2,2,3,5,2.03,0,19,2,4,2
3836,3836,102800,102800,37094660203,3709466,2,3,3,5,1.23,0,19,2,4,2
3837,3837,102801,102801,37094660204,3709466,2,4,3,5,1.01,0,19,2,4,2
3838,3838,102802,102802,37094660205,3709466,2,5,3,39,5.81,1,6,1,4,2
3839,3839,102804,102804,37094660302,3709466,3,2,3,5,2.03,0,17,2,4,2
3840,3840,102805,102805,37094660303,3709466,3,3,3,5,1.23,0,17,2,4,2
3841,3841,102806,102806,37094660304,3709466,3,4,3,5,1.01,0,17,2,4,2
3842,3842,102841,102841,37095390102,3709539,1,2,1,20,11.06,0,19,1,2,1
3843,3843,102842,102842,37095390103,3709539,1,3,1,13,3.16,0,19,1,2,1
3844,3844,102843,102843,37095390104,3709539,1,4,1,13,4.86,0,19,1,2,1
3845,3845,102844,102844,37095390105,3709539,1,5,1,9,2.27,0,19,1,2,1
3846,3846,102845,102845,37095390106,3709539,1,6,1,5,3.37,0,19,1,2,1
3847,3847,102846,102846,37095390107,3709539,1,7,1,17,6.72,0,19,1,2,1
3848,3848,102847,102847,37096880102,3709688,1,2,1,10,2.8,0,19,1,2,3
3849,3849,102848,102848,37096880103,3709688,1,3,1,15,2.83,0,19,1,2,3
3850,3850,102849,102849,37096880104,3709688,1,4,1,15,2.8,0,19,1,2,3
3851,3851,102850,102850,37096880105,3709688,1,5,1,15,2.83,0,19,1,2,3
3852,3852,102857,102857,37097540202,3709754,2,2,3,165,0.0,1,6,1,4,3
3853,3853,102868,102868,37097840202,3709784,2,2,3,25,8.2,0,19,1,4,3
3854,3854,102869,102869,37097840203,3709784,2,3,3,48,8.19,0,19,1,4,3
3855,3855,102870,102870,37097840302,3709784,3,2,3,15,6.81,0,19,1,4,3
3856,3856,102871,102871,37097840303,3709784,3,3,3,17,6.76,0,19,1,4,3
3857,3857,102872,102872,37098900102,3709890,1,2,3,30,13.43,1,19,1,2,2
